OrderID,OrderDate,CustomerID,CustomerName,Country
10643,1997-08-25,ALFKI,"Alfreds Futterkiste",Germany
10692,1997-10-03,ALFKI,"Alfreds Futterkiste",Germany
10702,1997-10-13,ALFKI,"Alfreds Futterkiste",Germany
10835,1998-01-15,ALFKI,"Alfreds Futterkiste",Germany
10952,1998-03-16,ALFKI,"Alfreds Futterkiste",Germany
11011,1998-04-09,ALFKI,"Alfreds Futterkiste",Germany
10308,1996-09-18,ANATR,"Ana Trujillo Emparedados y helados",Mexico
10625,1997-08-08,ANATR,"Ana Trujillo Emparedados y helados",Mexico
10759,1997-11-28,ANATR,"Ana Trujillo Emparedados y helados",Mexico
10926,1998-03-04,ANATR,"Ana Trujillo Emparedados y helados",Mexico
10365,1996-11-27,ANTON,"Antonio Moreno Taquera",Mexico
10507,1997-04-15,ANTON,"Antonio Moreno Taquera",Mexico
10535,1997-05-13,ANTON,"Antonio Moreno Taquera",Mexico
10573,1997-06-19,ANTON,"Antonio Moreno Taquera",Mexico
10677,1997-09-22,ANTON,"Antonio Moreno Taquera",Mexico
10682,1997-09-25,ANTON,"Antonio Moreno Taquera",Mexico
10856,1998-01-28,ANTON,"Antonio Moreno Taquera",Mexico
10355,1996-11-15,AROUT,"Around the Horn",UK
10383,1996-12-16,AROUT,"Around the Horn",UK
10453,1997-02-21,AROUT,"Around the Horn",UK
10558,1997-06-04,AROUT,"Around the Horn",UK
10707,1997-10-16,AROUT,"Around the Horn",UK
10741,1997-11-14,AROUT,"Around the Horn",UK
10743,1997-11-17,AROUT,"Around the Horn",UK
10768,1997-12-08,AROUT,"Around the Horn",UK
10793,1997-12-24,AROUT,"Around the Horn",UK
10864,1998-02-02,AROUT,"Around the Horn",UK
10920,1998-03-03,AROUT,"Around the Horn",UK
10953,1998-03-16,AROUT,"Around the Horn",UK
11016,1998-04-10,AROUT,"Around the Horn",UK
10278,1996-08-12,BERGS,"Berglunds snabbkp",Sweden
10280,1996-08-14,BERGS,"Berglunds snabbkp",Sweden
10384,1996-12-16,BERGS,"Berglunds snabbkp",Sweden
10444,1997-02-12,BERGS,"Berglunds snabbkp",Sweden
10445,1997-02-13,BERGS,"Berglunds snabbkp",Sweden
10524,1997-05-01,BERGS,"Berglunds snabbkp",Sweden
10572,1997-06-18,BERGS,"Berglunds snabbkp",Sweden
10626,1997-08-11,BERGS,"Berglunds snabbkp",Sweden
10654,1997-09-02,BERGS,"Berglunds snabbkp",Sweden
10672,1997-09-17,BERGS,"Berglunds snabbkp",Sweden
10689,1997-10-01,BERGS,"Berglunds snabbkp",Sweden
10733,1997-11-07,BERGS,"Berglunds snabbkp",Sweden
10778,1997-12-16,BERGS,"Berglunds snabbkp",Sweden
10837,1998-01-16,BERGS,"Berglunds snabbkp",Sweden
10857,1998-01-28,BERGS,"Berglunds snabbkp",Sweden
10866,1998-02-03,BERGS,"Berglunds snabbkp",Sweden
10875,1998-02-06,BERGS,"Berglunds snabbkp",Sweden
10924,1998-03-04,BERGS,"Berglunds snabbkp",Sweden
10501,1997-04-09,BLAUS,"Blauer See Delikatessen",Germany
10509,1997-04-17,BLAUS,"Blauer See Delikatessen",Germany
10582,1997-06-27,BLAUS,"Blauer See Delikatessen",Germany
10614,1997-07-29,BLAUS,"Blauer See Delikatessen",Germany
10853,1998-01-27,BLAUS,"Blauer See Delikatessen",Germany
10956,1998-03-17,BLAUS,"Blauer See Delikatessen",Germany
11058,1998-04-29,BLAUS,"Blauer See Delikatessen",Germany
10265,1996-07-25,BLONP,"Blondesddsl pre et fils",France
10297,1996-09-04,BLONP,"Blondesddsl pre et fils",France
10360,1996-11-22,BLONP,"Blondesddsl pre et fils",France
10436,1997-02-05,BLONP,"Blondesddsl pre et fils",France
10449,1997-02-18,BLONP,"Blondesddsl pre et fils",France
10559,1997-06-05,BLONP,"Blondesddsl pre et fils",France
10566,1997-06-12,BLONP,"Blondesddsl pre et fils",France
10584,1997-06-30,BLONP,"Blondesddsl pre et fils",France
10628,1997-08-12,BLONP,"Blondesddsl pre et fils",France
10679,1997-09-23,BLONP,"Blondesddsl pre et fils",France
10826,1998-01-12,BLONP,"Blondesddsl pre et fils",France
10326,1996-10-10,BOLID,"Blido Comidas preparadas",Spain
10801,1997-12-29,BOLID,"Blido Comidas preparadas",Spain
10970,1998-03-24,BOLID,"Blido Comidas preparadas",Spain
10331,1996-10-16,BONAP,"Bon app'",France
10340,1996-10-29,BONAP,"Bon app'",France
10362,1996-11-25,BONAP,"Bon app'",France
10470,1997-03-11,BONAP,"Bon app'",France
10511,1997-04-18,BONAP,"Bon app'",France
10525,1997-05-02,BONAP,"Bon app'",France
10663,1997-09-10,BONAP,"Bon app'",France
10715,1997-10-23,BONAP,"Bon app'",France
10730,1997-11-05,BONAP,"Bon app'",France
10732,1997-11-06,BONAP,"Bon app'",France
10755,1997-11-26,BONAP,"Bon app'",France
10827,1998-01-12,BONAP,"Bon app'",France
10871,1998-02-05,BONAP,"Bon app'",France
10876,1998-02-09,BONAP,"Bon app'",France
10932,1998-03-06,BONAP,"Bon app'",France
10940,1998-03-11,BONAP,"Bon app'",France
11076,1998-05-06,BONAP,"Bon app'",France
10389,1996-12-20,BOTTM,"Bottom-Dollar Markets",Canada
10410,1997-01-10,BOTTM,"Bottom-Dollar Markets",Canada
10411,1997-01-10,BOTTM,"Bottom-Dollar Markets",Canada
10431,1997-01-30,BOTTM,"Bottom-Dollar Markets",Canada
10492,1997-04-01,BOTTM,"Bottom-Dollar Markets",Canada
10742,1997-11-14,BOTTM,"Bottom-Dollar Markets",Canada
10918,1998-03-02,BOTTM,"Bottom-Dollar Markets",Canada
10944,1998-03-12,BOTTM,"Bottom-Dollar Markets",Canada
10949,1998-03-13,BOTTM,"Bottom-Dollar Markets",Canada
10975,1998-03-25,BOTTM,"Bottom-Dollar Markets",Canada
10982,1998-03-27,BOTTM,"Bottom-Dollar Markets",Canada
11027,1998-04-16,BOTTM,"Bottom-Dollar Markets",Canada
11045,1998-04-23,BOTTM,"Bottom-Dollar Markets",Canada
11048,1998-04-24,BOTTM,"Bottom-Dollar Markets",Canada
10289,1996-08-26,BSBEV,"B's Beverages",UK
10471,1997-03-11,BSBEV,"B's Beverages",UK
10484,1997-03-24,BSBEV,"B's Beverages",UK
10538,1997-05-15,BSBEV,"B's Beverages",UK
10539,1997-05-16,BSBEV,"B's Beverages",UK
10578,1997-06-24,BSBEV,"B's Beverages",UK
10599,1997-07-15,BSBEV,"B's Beverages",UK
10943,1998-03-11,BSBEV,"B's Beverages",UK
10947,1998-03-13,BSBEV,"B's Beverages",UK
11023,1998-04-14,BSBEV,"B's Beverages",UK
10521,1997-04-29,CACTU,"Cactus Comidas para llevar",Argentina
10782,1997-12-17,CACTU,"Cactus Comidas para llevar",Argentina
10819,1998-01-07,CACTU,"Cactus Comidas para llevar",Argentina
10881,1998-02-11,CACTU,"Cactus Comidas para llevar",Argentina
10937,1998-03-10,CACTU,"Cactus Comidas para llevar",Argentina
11054,1998-04-28,CACTU,"Cactus Comidas para llevar",Argentina
10259,1996-07-18,CENTC,"Centro comercial Moctezuma",Mexico
10254,1996-07-11,CHOPS,"Chop-suey Chinese",Switzerland
10370,1996-12-03,CHOPS,"Chop-suey Chinese",Switzerland
10519,1997-04-28,CHOPS,"Chop-suey Chinese",Switzerland
